Age,Gender,Occupation,Country,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours,Social_Media_Usage,Diet_Quality,Smoking_Habit,Alcohol_Consumption,split
26,Female,Engineering,Australia,Low,8.4,33,8,4.8,Healthy,Occasional Smoker,Social Drinker,train
43,Prefer not to say,Finance,Other,Medium,7.3,60,5,5.3,Average,Non-Smoker,Social Drinker,train
64,Male,Finance,Other,Low,9.3,58,8,2.9,Healthy,Heavy Smoker,Social Drinker,train
51,Male,Healthcare,Germany,High,5.6,77,2,2.6,Unhealthy,Regular Smoker,Heavy Drinker,train
31,Female,IT,Germany,Low,9.6,52,6,3.9,Healthy,Occasional Smoker,Non-Drinker,train
19,Male,Engineering,Canada,Low,9.5,36,6,4.9,Healthy,Regular Smoker,Non-Drinker,train
44,Prefer not to say,Finance,UK,High,9.0,64,4,4.9,Healthy,Regular Smoker,Heavy Drinker,train
64,Non-binary,Engineering,Australia,Medium,5.8,45,8,2.7,Unhealthy,Regular Smoker,Non-Drinker,train
58,Prefer not to say,Education,India,Low,4.1,36,9,1.9,Average,Occasional Smoker,Social Drinker,train
24,Female,IT,Australia,Low,6.1,46,4,3.3,Healthy,Occasional Smoker,Social Drinker,train
42,Male,Healthcare,Germany,High,5.6,75,1,0.6,Average,Heavy Smoker,Non-Drinker,train
27,Female,Sales,Germany,Medium,9.5,64,4,1.3,Healthy,Heavy Smoker,Regular Drinker,train
60,Female,Engineering,Other,Low,5.1,43,9,5.6,Healthy,Non-Smoker,Non-Drinker,train
63,Male,Sales,Australia,High,4.0,67,7,0.8,Unhealthy,Occasional Smoker,Heavy Drinker,train
65,Male,Education,Australia,High,7.8,74,0,2.2,Average,Heavy Smoker,Social Drinker,train
39,Prefer not to say,Healthcare,USA,High,4.8,62,5,4.4,Unhealthy,Regular Smoker,Non-Drinker,train
34,Female,Education,Canada,High,5.7,66,9,5.5,Unhealthy,Non-Smoker,Social Drinker,train
25,Female,Education,India,Low,5.3,66,9,1.1,Healthy,Non-Smoker,Non-Drinker,train
61,Male,Finance,Other,High,5.6,49,1,6.0,Average,Regular Smoker,Social Drinker,train
58,Male,IT,Germany,Medium,7.0,71,7,2.1,Unhealthy,Heavy Smoker,Non-Drinker,train
41,Male,Engineering,USA,High,6.9,54,3,5.5,Average,Heavy Smoker,Non-Drinker,train
44,Non-binary,IT,Germany,High,5.6,31,1,4.2,Unhealthy,Regular Smoker,Non-Drinker,train
32,Female,Engineering,Australia,High,7.1,72,6,4.2,Unhealthy,Regular Smoker,Heavy Drinker,train
51,Non-binary,Engineering,India,High,4.9,32,4,4.5,Unhealthy,Heavy Smoker,Regular Drinker,train
28,Non-binary,Engineering,India,High,9.0,63,1,1.7,Average,Regular Smoker,Regular Drinker,train
26,Female,Finance,India,Medium,8.1,56,7,2.0,Unhealthy,Regular Smoker,Regular Drinker,train
47,Prefer not to say,Finance,Canada,Medium,5.8,50,8,5.4,Average,Occasional Smoker,Non-Drinker,train
58,Male,Other,Canada,Medium,5.9,34,10,4.7,Average,Non-Smoker,Heavy Drinker,train
61,Female,Education,Other,Low,6.0,62,9,0.6,Healthy,Regular Smoker,Non-Drinker,train
20,Prefer not to say,Sales,Other,Low,6.1,46,9,3.7,Healthy,Non-Smoker,Non-Drinker,train
50,Non-binary,Engineering,Canada,High,8.4,67,2,6.0,Healthy,Occasional Smoker,Regular Drinker,train
34,Female,Sales,India,Medium,6.2,36,7,0.6,Unhealthy,Heavy Smoker,Regular Drinker,train
37,Non-binary,IT,India,High,7.3,51,0,4.8,Healthy,Regular Smoker,Social Drinker,train
44,Prefer not to say,Healthcare,Other,Medium,9.5,42,10,3.6,Unhealthy,Heavy Smoker,Heavy Drinker,train
26,Non-binary,Other,Other,Low,7.4,33,7,2.1,Average,Non-Smoker,Heavy Drinker,train
20,Prefer not to say,Healthcare,Canada,Low,9.9,31,9,4.1,Average,Non-Smoker,Heavy Drinker,train
22,Non-binary,Healthcare,Australia,High,4.7,74,10,3.9,Unhealthy,Occasional Smoker,Regular Drinker,train
27,Female,Other,Australia,Medium,4.9,33,9,4.3,Average,Regular Smoker,Non-Drinker,train
58,Non-binary,Healthcare,Germany,Medium,8.0,56,7,2.4,Unhealthy,Occasional Smoker,Heavy Drinker,train
35,Male,IT,Australia,High,7.5,59,2,4.6,Average,Regular Smoker,Non-Drinker,train
47,Female,Sales,Other,Low,9.4,45,8,1.2,Healthy,Occasional Smoker,Regular Drinker,train
46,Female,Other,Canada,High,4.5,62,10,2.6,Average,Heavy Smoker,Regular Drinker,train
61,Non-binary,Education,Other,High,7.0,75,6,1.2,Unhealthy,Regular Smoker,Heavy Drinker,train
62,Male,Finance,India,Low,6.7,46,5,3.1,Average,Non-Smoker,Social Drinker,train
43,Male,Other,UK,High,4.7,42,1,5.0,Average,Regular Smoker,Heavy Drinker,train
64,Prefer not to say,Other,Other,High,4.2,37,6,2.9,Unhealthy,Regular Smoker,Regular Drinker,train
26,Female,Healthcare,Germany,High,6.8,77,5,5.1,Average,Regular Smoker,Heavy Drinker,train
45,Non-binary,IT,India,Medium,4.8,72,7,1.2,Average,Regular Smoker,Non-Drinker,train
50,Prefer not to say,Other,Australia,Medium,5.4,38,4,5.0,Healthy,Occasional Smoker,Social Drinker,train
23,Non-binary,Sales,India,Low,9.5,49,5,2.1,Unhealthy,Non-Smoker,Social Drinker,train
34,Female,Other,Germany,High,5.1,53,10,5.1,Unhealthy,Regular Smoker,Social Drinker,train
46,Prefer not to say,Other,UK,Low,6.4,61,10,3.4,Healthy,Non-Smoker,Social Drinker,train
38,Prefer not to say,IT,Australia,High,7.1,52,2,4.1,Unhealthy,Regular Smoker,Social Drinker,train
36,Prefer not to say,IT,Canada,High,7.4,73,0,2.9,Unhealthy,Regular Smoker,Non-Drinker,train
57,Prefer not to say,Healthcare,Other,Low,8.9,42,5,4.2,Healthy,Heavy Smoker,Non-Drinker,train
60,Non-binary,Healthcare,India,High,5.9,73,9,3.6,Unhealthy,Non-Smoker,Regular Drinker,train
18,Male,Engineering,India,High,6.5,67,2,2.5,Unhealthy,Non-Smoker,Heavy Drinker,train
28,Male,Education,Canada,High,5.6,32,2,3.0,Unhealthy,Occasional Smoker,Regular Drinker,train
46,Prefer not to say,Healthcare,Germany,High,4.8,67,2,4.9,Average,Regular Smoker,Heavy Drinker,train
53,Prefer not to say,Sales,Australia,High,6.6,64,1,4.2,Average,Heavy Smoker,Heavy Drinker,train
37,Non-binary,Education,UK,High,4.3,32,5,4.4,Average,Heavy Smoker,Regular Drinker,train
27,Non-binary,Education,India,High,6.1,70,4,3.2,Unhealthy,Heavy Smoker,Social Drinker,train
55,Male,Other,USA,Low,6.0,37,10,0.6,Healthy,Occasional Smoker,Non-Drinker,train
48,Prefer not to say,Other,India,High,5.3,71,3,4.8,Unhealthy,Regular Smoker,Regular Drinker,train
21,Prefer not to say,Finance,Australia,Low,8.4,48,10,1.6,Average,Occasional Smoker,Regular Drinker,train
26,Non-binary,Sales,Other,Low,6.3,55,8,0.6,Healthy,Occasional Smoker,Heavy Drinker,train
28,Non-binary,Engineering,Canada,High,4.2,52,0,5.8,Average,Non-Smoker,Heavy Drinker,train
22,Male,Finance,USA,Medium,4.8,68,9,2.7,Healthy,Heavy Smoker,Non-Drinker,train
49,Male,Finance,Germany,Low,8.8,51,8,3.9,Healthy,Occasional Smoker,Heavy Drinker,train
45,Male,Healthcare,USA,High,5.5,78,2,1.5,Average,Occasional Smoker,Social Drinker,train
45,Non-binary,Engineering,Australia,Low,9.5,58,5,2.6,Healthy,Occasional Smoker,Non-Drinker,train
55,Female,Sales,USA,Medium,7.7,30,0,2.2,Average,Heavy Smoker,Social Drinker,train
38,Prefer not to say,IT,Germany,Low,9.4,37,10,6.0,Healthy,Non-Smoker,Non-Drinker,train
39,Prefer not to say,Finance,Other,High,5.4,77,6,3.3,Average,Regular Smoker,Heavy Drinker,train
44,Male,Other,Germany,High,4.2,65,6,2.8,Unhealthy,Heavy Smoker,Heavy Drinker,train
19,Male,Healthcare,UK,High,7.6,71,7,2.8,Unhealthy,Regular Smoker,Social Drinker,train
54,Male,Engineering,India,High,9.7,75,10,4.5,Unhealthy,Regular Smoker,Heavy Drinker,train
50,Female,Education,Canada,Medium,9.4,62,2,4.3,Healthy,Occasional Smoker,Social Drinker,train
24,Male,Engineering,UK,Medium,8.6,34,5,2.7,Average,Heavy Smoker,Heavy Drinker,train
55,Male,Finance,UK,Medium,9.6,80,2,1.2,Average,Non-Smoker,Heavy Drinker,train
46,Non-binary,Finance,UK,High,4.5,51,1,1.3,Unhealthy,Occasional Smoker,Heavy Drinker,train
39,Male,Finance,Australia,Medium,9.2,30,10,3.6,Unhealthy,Heavy Smoker,Heavy Drinker,train
44,Male,Education,India,Low,6.5,33,10,2.0,Healthy,Regular Smoker,Social Drinker,train
22,Prefer not to say,Healthcare,India,High,4.2,57,1,3.0,Average,Heavy Smoker,Regular Drinker,train
28,Male,Sales,USA,High,6.6,67,3,3.8,Healthy,Regular Smoker,Social Drinker,train
65,Male,Other,Australia,High,4.2,76,7,5.3,Healthy,Heavy Smoker,Heavy Drinker,train
47,Male,Finance,USA,Medium,9.7,77,3,3.0,Healthy,Heavy Smoker,Non-Drinker,train
23,Non-binary,IT,Australia,Medium,9.1,47,9,4.8,Unhealthy,Non-Smoker,Heavy Drinker,train
20,Non-binary,Engineering,Germany,Medium,5.0,44,4,2.8,Healthy,Occasional Smoker,Regular Drinker,train
60,Prefer not to say,Other,Other,High,5.6,30,6,5.3,Unhealthy,Non-Smoker,Heavy Drinker,train
22,Prefer not to say,Other,India,High,6.0,76,10,1.4,Unhealthy,Heavy Smoker,Regular Drinker,train
62,Prefer not to say,Engineering,India,High,6.2,71,3,2.8,Unhealthy,Occasional Smoker,Regular Drinker,train
25,Non-binary,IT,Australia,Low,9.3,61,5,1.0,Healthy,Non-Smoker,Regular Drinker,train
51,Female,Sales,Australia,Medium,4.1,38,2,0.6,Average,Regular Smoker,Non-Drinker,train
31,Female,Healthcare,India,High,7.9,56,1,4.8,Healthy,Occasional Smoker,Regular Drinker,train
48,Male,Other,Australia,Low,9.3,71,7,0.5,Average,Non-Smoker,Regular Drinker,train
35,Male,Finance,UK,High,5.0,72,1,4.9,Healthy,Heavy Smoker,Non-Drinker,train
31,Female,Healthcare,Australia,High,5.6,49,0,3.8,Average,Regular Smoker,Social Drinker,train
42,Male,Engineering,USA,Medium,7.8,75,2,1.2,Healthy,Non-Smoker,Regular Drinker,train
47,Female,IT,Germany,High,4.4,43,3,4.5,Average,Occasional Smoker,Regular Drinker,train
24,Prefer not to say,Sales,Germany,High,8.7,65,0,3.9,Unhealthy,Heavy Smoker,Social Drinker,train
23,Female,Sales,UK,Medium,9.8,44,0,2.2,Unhealthy,Regular Smoker,Social Drinker,train
38,Male,Engineering,Canada,Medium,9.4,30,5,5.7,Unhealthy,Regular Smoker,Non-Drinker,train
30,Male,Education,Australia,Medium,9.8,72,3,5.0,Healthy,Non-Smoker,Social Drinker,train
25,Non-binary,Engineering,Canada,Low,9.1,42,8,2.3,Average,Regular Smoker,Regular Drinker,train
18,Prefer not to say,Healthcare,Australia,Medium,4.2,41,5,5.0,Healthy,Non-Smoker,Heavy Drinker,train
19,Prefer not to say,Education,Australia,High,4.0,63,2,5.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
28,Non-binary,Sales,Germany,Medium,8.5,69,9,4.2,Healthy,Occasional Smoker,Regular Drinker,train
24,Female,Education,Canada,High,7.2,47,4,2.4,Average,Regular Smoker,Heavy Drinker,train
44,Female,IT,Canada,High,6.1,57,1,1.3,Unhealthy,Heavy Smoker,Social Drinker,train
42,Prefer not to say,Education,USA,Medium,9.6,42,7,2.9,Unhealthy,Regular Smoker,Regular Drinker,train
57,Prefer not to say,Other,USA,Medium,9.1,47,8,4.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
62,Non-binary,Education,India,High,5.8,62,5,6.0,Average,Non-Smoker,Heavy Drinker,train
21,Non-binary,Other,Other,High,7.9,48,2,4.9,Unhealthy,Regular Smoker,Non-Drinker,train
55,Male,Sales,India,Medium,4.7,33,4,3.1,Healthy,Regular Smoker,Social Drinker,train
61,Female,IT,Other,Low,9.0,62,6,4.0,Healthy,Heavy Smoker,Non-Drinker,train
30,Female,IT,USA,Medium,9.5,49,6,1.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
54,Prefer not to say,IT,UK,High,5.9,44,7,5.2,Unhealthy,Occasional Smoker,Regular Drinker,train
59,Prefer not to say,Healthcare,Canada,High,5.5,64,2,5.8,Unhealthy,Regular Smoker,Heavy Drinker,train
28,Non-binary,Other,Australia,Low,8.8,47,3,0.6,Healthy,Non-Smoker,Social Drinker,train
60,Non-binary,Education,Canada,Medium,7.7,76,0,2.7,Average,Non-Smoker,Non-Drinker,train
42,Male,IT,Canada,Low,8.0,45,3,5.2,Average,Non-Smoker,Non-Drinker,train
55,Prefer not to say,Other,Other,High,6.8,65,9,4.5,Unhealthy,Regular Smoker,Social Drinker,train
33,Male,Engineering,Germany,Medium,4.3,43,6,2.8,Healthy,Heavy Smoker,Social Drinker,train
21,Female,Education,Germany,Low,6.5,41,6,0.9,Healthy,Occasional Smoker,Social Drinker,train
25,Male,Healthcare,Canada,Low,8.5,48,6,2.0,Healthy,Occasional Smoker,Regular Drinker,train
47,Non-binary,Engineering,Canada,High,4.1,75,4,3.1,Unhealthy,Regular Smoker,Non-Drinker,train
21,Prefer not to say,Healthcare,Canada,High,9.1,76,2,2.1,Unhealthy,Heavy Smoker,Heavy Drinker,train
65,Prefer not to say,Finance,Australia,Medium,5.0,54,5,1.3,Healthy,Occasional Smoker,Heavy Drinker,train
25,Prefer not to say,Other,India,High,5.2,66,0,3.3,Average,Heavy Smoker,Non-Drinker,train
35,Prefer not to say,IT,Germany,High,5.7,67,0,2.8,Average,Regular Smoker,Regular Drinker,train
24,Female,IT,Canada,Medium,6.0,44,3,2.4,Average,Occasional Smoker,Social Drinker,train
49,Female,Engineering,USA,Low,9.2,35,0,1.0,Unhealthy,Occasional Smoker,Non-Drinker,train
47,Female,IT,USA,High,7.5,43,0,4.7,Healthy,Regular Smoker,Regular Drinker,train
24,Non-binary,IT,USA,High,7.5,62,1,2.7,Unhealthy,Regular Smoker,Regular Drinker,train
48,Non-binary,Healthcare,India,Medium,4.6,51,8,3.5,Healthy,Regular Smoker,Social Drinker,train
47,Prefer not to say,Healthcare,India,Low,9.3,38,7,2.1,Average,Regular Smoker,Social Drinker,train
49,Non-binary,Engineering,India,High,5.2,71,8,5.7,Average,Regular Smoker,Regular Drinker,train
40,Prefer not to say,Sales,USA,Medium,8.3,78,6,4.3,Unhealthy,Non-Smoker,Non-Drinker,train
52,Female,Other,Canada,Medium,5.1,67,9,1.7,Healthy,Heavy Smoker,Social Drinker,train
24,Non-binary,Other,Canada,Low,8.9,38,9,2.7,Healthy,Heavy Smoker,Social Drinker,train
60,Female,Engineering,Germany,Medium,7.5,37,0,3.2,Average,Regular Smoker,Non-Drinker,train
40,Male,Sales,Canada,Medium,4.7,40,7,3.6,Average,Heavy Smoker,Social Drinker,train
44,Female,Healthcare,India,Low,4.4,33,3,4.1,Healthy,Non-Smoker,Non-Drinker,train
27,Female,Engineering,USA,High,4.5,76,10,3.0,Healthy,Heavy Smoker,Heavy Drinker,train
34,Female,Sales,UK,Medium,9.6,68,9,4.5,Unhealthy,Occasional Smoker,Non-Drinker,train
59,Male,Education,India,Medium,4.8,57,10,3.8,Healthy,Heavy Smoker,Social Drinker,train
40,Prefer not to say,Engineering,Germany,Medium,6.5,38,5,3.2,Healthy,Heavy Smoker,Regular Drinker,train
43,Non-binary,IT,UK,High,4.9,41,1,1.7,Unhealthy,Regular Smoker,Regular Drinker,train
46,Prefer not to say,IT,Canada,Medium,6.3,50,4,1.4,Average,Regular Smoker,Social Drinker,train
38,Female,Finance,Germany,Medium,4.9,32,6,2.1,Unhealthy,Regular Smoker,Non-Drinker,train
52,Non-binary,Engineering,UK,High,4.1,80,8,4.2,Average,Occasional Smoker,Heavy Drinker,train
58,Prefer not to say,Sales,India,Medium,4.5,40,1,3.0,Healthy,Regular Smoker,Non-Drinker,train
63,Female,Engineering,Germany,Medium,6.4,34,10,4.7,Healthy,Heavy Smoker,Regular Drinker,train
52,Male,Finance,Other,Medium,4.7,54,6,3.4,Average,Occasional Smoker,Non-Drinker,train
21,Male,Healthcare,Canada,High,4.8,80,1,5.3,Average,Regular Smoker,Social Drinker,train
61,Female,Education,India,High,4.0,57,9,5.5,Unhealthy,Non-Smoker,Regular Drinker,train
33,Non-binary,Finance,Other,Medium,8.7,61,2,1.1,Unhealthy,Non-Smoker,Regular Drinker,train
47,Non-binary,Healthcare,Canada,Low,8.3,58,9,3.3,Healthy,Non-Smoker,Heavy Drinker,train
33,Male,Education,UK,Low,9.3,70,0,1.5,Healthy,Occasional Smoker,Non-Drinker,train
24,Female,Education,Germany,High,5.1,78,0,4.2,Unhealthy,Non-Smoker,Regular Drinker,train
33,Prefer not to say,Healthcare,Canada,High,4.2,67,2,0.9,Average,Occasional Smoker,Social Drinker,train
23,Female,Finance,India,Medium,9.2,36,1,4.9,Average,Heavy Smoker,Non-Drinker,train
55,Female,Engineering,Germany,Low,7.5,31,9,0.7,Unhealthy,Non-Smoker,Regular Drinker,train
65,Prefer not to say,Finance,Australia,High,4.1,77,10,2.0,Unhealthy,Occasional Smoker,Regular Drinker,train
18,Male,IT,Other,Medium,8.4,31,3,1.2,Unhealthy,Occasional Smoker,Heavy Drinker,train
65,Non-binary,Other,UK,High,6.0,76,1,4.5,Healthy,Non-Smoker,Heavy Drinker,train
46,Female,Other,UK,Low,8.7,39,10,2.4,Healthy,Regular Smoker,Regular Drinker,train
31,Male,Other,Other,Low,9.0,78,3,2.2,Average,Non-Smoker,Non-Drinker,train
18,Female,Education,USA,Low,8.1,62,7,1.0,Healthy,Occasional Smoker,Regular Drinker,train
39,Female,Other,Germany,High,5.4,44,6,4.7,Unhealthy,Occasional Smoker,Heavy Drinker,train
64,Male,Education,USA,Low,5.4,45,0,0.8,Healthy,Non-Smoker,Social Drinker,train
34,Non-binary,Engineering,USA,Low,8.1,62,3,1.4,Healthy,Non-Smoker,Non-Drinker,train
64,Prefer not to say,Finance,UK,Low,7.6,51,4,1.1,Healthy,Occasional Smoker,Non-Drinker,train
30,Non-binary,Finance,India,High,7.3,75,2,5.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
56,Male,Education,Other,Low,7.0,30,5,2.6,Healthy,Occasional Smoker,Social Drinker,train
64,Male,IT,Germany,Low,5.2,33,10,2.5,Healthy,Non-Smoker,Social Drinker,train
52,Non-binary,Engineering,Other,High,4.0,79,4,3.1,Unhealthy,Regular Smoker,Social Drinker,train
53,Prefer not to say,IT,Germany,Low,7.6,35,4,0.5,Healthy,Regular Smoker,Social Drinker,train
63,Prefer not to say,Education,Canada,Medium,4.7,38,0,0.5,Average,Non-Smoker,Regular Drinker,train
54,Non-binary,IT,Australia,Low,9.7,47,7,3.5,Average,Occasional Smoker,Non-Drinker,train
48,Non-binary,Healthcare,Germany,High,5.4,67,9,4.5,Unhealthy,Heavy Smoker,Social Drinker,train
49,Female,Other,Australia,High,8.3,80,2,4.9,Unhealthy,Non-Smoker,Heavy Drinker,train
26,Non-binary,IT,Canada,Medium,9.1,46,0,3.1,Average,Regular Smoker,Social Drinker,train
42,Non-binary,Engineering,Canada,High,7.0,56,0,4.7,Healthy,Heavy Smoker,Regular Drinker,train
30,Male,Other,USA,High,4.4,57,0,1.7,Average,Regular Smoker,Heavy Drinker,train
38,Female,Healthcare,UK,Medium,5.7,55,8,4.4,Average,Occasional Smoker,Non-Drinker,train
45,Prefer not to say,Other,India,Low,10.0,48,8,5.5,Average,Non-Smoker,Non-Drinker,train
21,Non-binary,Education,Canada,High,6.6,71,6,0.7,Unhealthy,Regular Smoker,Social Drinker,train
22,Non-binary,Healthcare,Australia,High,5.1,77,2,1.3,Average,Heavy Smoker,Social Drinker,train
33,Prefer not to say,Sales,UK,Low,9.1,32,9,4.8,Unhealthy,Non-Smoker,Non-Drinker,train
47,Prefer not to say,Sales,Germany,Medium,6.3,35,5,5.0,Average,Non-Smoker,Heavy Drinker,train
60,Non-binary,Other,Germany,High,9.5,62,5,5.8,Average,Heavy Smoker,Heavy Drinker,train
44,Non-binary,Education,Germany,High,7.7,49,1,4.7,Average,Heavy Smoker,Social Drinker,train
41,Female,Engineering,USA,Low,8.2,50,7,3.6,Average,Non-Smoker,Social Drinker,train
47,Male,Healthcare,Australia,Medium,4.7,52,9,1.1,Healthy,Regular Smoker,Heavy Drinker,train
19,Prefer not to say,IT,USA,Low,7.1,36,5,4.3,Healthy,Non-Smoker,Non-Drinker,train
40,Female,Engineering,Australia,High,5.3,67,0,2.8,Average,Regular Smoker,Non-Drinker,train
20,Female,Other,USA,Low,8.3,49,8,1.3,Unhealthy,Occasional Smoker,Non-Drinker,train
55,Female,Engineering,Germany,Medium,6.8,48,5,2.0,Healthy,Heavy Smoker,Regular Drinker,train
38,Non-binary,Healthcare,Germany,Low,6.6,42,9,4.1,Healthy,Non-Smoker,Regular Drinker,train
25,Female,Engineering,Canada,High,4.3,44,2,4.4,Average,Heavy Smoker,Heavy Drinker,train
55,Prefer not to say,Engineering,USA,Medium,9.2,55,9,2.8,Unhealthy,Occasional Smoker,Heavy Drinker,train
20,Non-binary,Sales,Other,High,4.6,52,4,3.8,Unhealthy,Regular Smoker,Social Drinker,train
48,Prefer not to say,Other,Germany,High,4.6,77,0,0.9,Average,Non-Smoker,Regular Drinker,train
36,Prefer not to say,Finance,Australia,Medium,8.5,64,1,4.7,Healthy,Occasional Smoker,Non-Drinker,train
38,Male,Healthcare,USA,High,5.0,80,0,2.0,Average,Regular Smoker,Regular Drinker,train
45,Male,Education,Canada,High,5.2,57,2,4.9,Unhealthy,Occasional Smoker,Non-Drinker,train
19,Prefer not to say,Engineering,UK,Low,8.8,67,7,3.2,Healthy,Non-Smoker,Heavy Drinker,train
38,Prefer not to say,Sales,UK,High,5.8,76,8,5.3,Unhealthy,Regular Smoker,Social Drinker,train
46,Non-binary,IT,Other,High,6.1,74,1,3.2,Healthy,Regular Smoker,Social Drinker,train
30,Female,Finance,India,High,5.0,79,1,5.4,Average,Heavy Smoker,Non-Drinker,train
28,Prefer not to say,Sales,Germany,High,9.4,80,5,5.7,Average,Heavy Smoker,Regular Drinker,train
23,Non-binary,Education,UK,High,4.9,71,1,0.8,Healthy,Occasional Smoker,Heavy Drinker,train
32,Male,Finance,Australia,Low,6.8,31,9,0.5,Average,Regular Smoker,Non-Drinker,train
50,Male,Engineering,Germany,High,5.9,72,4,4.7,Average,Heavy Smoker,Non-Drinker,train
52,Non-binary,Sales,Australia,High,9.1,73,4,4.4,Unhealthy,Occasional Smoker,Social Drinker,train
54,Female,Engineering,Australia,Low,6.5,40,6,3.5,Healthy,Occasional Smoker,Non-Drinker,train
41,Female,Other,Canada,High,4.2,41,0,3.4,Healthy,Regular Smoker,Heavy Drinker,train
37,Male,Healthcare,Other,Low,5.7,43,9,1.4,Healthy,Occasional Smoker,Heavy Drinker,train
54,Non-binary,Engineering,Australia,Medium,8.9,50,4,2.7,Average,Occasional Smoker,Heavy Drinker,train
35,Female,Engineering,Canada,Low,6.5,43,3,1.8,Healthy,Heavy Smoker,Non-Drinker,train
22,Male,Sales,USA,Medium,4.3,60,8,3.9,Healthy,Occasional Smoker,Heavy Drinker,train
34,Male,IT,Australia,Low,8.4,35,1,1.0,Healthy,Regular Smoker,Social Drinker,train
56,Non-binary,Other,Germany,Medium,9.4,31,0,3.0,Healthy,Regular Smoker,Heavy Drinker,train
33,Non-binary,Healthcare,Canada,Low,5.6,53,10,1.8,Unhealthy,Non-Smoker,Non-Drinker,train
35,Non-binary,Sales,Germany,Low,10.0,30,0,3.5,Average,Non-Smoker,Social Drinker,train
30,Male,Other,USA,Medium,8.6,40,0,3.1,Average,Occasional Smoker,Heavy Drinker,train
54,Female,IT,UK,Medium,8.2,36,4,2.5,Average,Heavy Smoker,Heavy Drinker,train
27,Female,Finance,Other,Medium,6.4,67,3,1.5,Average,Non-Smoker,Social Drinker,train
50,Male,Healthcare,Germany,High,7.0,54,5,5.8,Average,Regular Smoker,Regular Drinker,train
55,Male,Engineering,Canada,High,4.4,71,0,3.1,Average,Regular Smoker,Regular Drinker,train
31,Prefer not to say,Other,Other,High,4.9,72,2,0.8,Unhealthy,Occasional Smoker,Social Drinker,train
26,Female,Other,Germany,High,8.7,58,1,4.7,Average,Occasional Smoker,Regular Drinker,train
20,Non-binary,IT,Other,Low,4.3,37,8,0.7,Average,Non-Smoker,Non-Drinker,train
53,Male,Finance,India,Medium,7.8,74,10,0.9,Unhealthy,Regular Smoker,Non-Drinker,train
41,Female,Finance,USA,High,4.5,77,3,4.2,Unhealthy,Regular Smoker,Social Drinker,train
61,Male,Other,Other,Medium,7.8,35,4,1.3,Unhealthy,Occasional Smoker,Heavy Drinker,train
20,Female,Sales,Australia,High,9.9,75,0,5.2,Average,Heavy Smoker,Social Drinker,train
38,Male,IT,USA,High,6.5,54,6,3.3,Unhealthy,Occasional Smoker,Regular Drinker,train
38,Non-binary,IT,Canada,High,8.7,68,8,5.4,Average,Regular Smoker,Heavy Drinker,train
46,Female,Engineering,India,Low,4.3,35,10,1.4,Unhealthy,Non-Smoker,Non-Drinker,train
36,Prefer not to say,IT,Australia,Medium,8.3,64,1,0.9,Average,Non-Smoker,Heavy Drinker,train
44,Non-binary,Finance,Germany,High,4.9,58,2,4.1,Healthy,Regular Smoker,Regular Drinker,train
18,Male,Sales,USA,High,4.8,63,2,1.3,Unhealthy,Regular Smoker,Heavy Drinker,train
43,Prefer not to say,Education,India,High,4.5,59,0,5.9,Average,Occasional Smoker,Regular Drinker,train
61,Prefer not to say,Finance,India,High,8.2,52,1,5.4,Unhealthy,Heavy Smoker,Non-Drinker,train
29,Female,Engineering,Canada,Low,8.7,64,0,1.6,Healthy,Non-Smoker,Social Drinker,train
23,Female,IT,USA,High,5.9,74,0,1.6,Average,Regular Smoker,Heavy Drinker,train
22,Non-binary,IT,Germany,Low,7.6,68,10,1.5,Unhealthy,Non-Smoker,Non-Drinker,train
19,Non-binary,Education,UK,High,6.4,71,0,4.0,Unhealthy,Occasional Smoker,Non-Drinker,train
35,Female,Healthcare,Germany,High,5.1,69,5,5.6,Unhealthy,Occasional Smoker,Social Drinker,train
18,Non-binary,Sales,Germany,Medium,8.0,76,2,0.8,Average,Non-Smoker,Heavy Drinker,train
57,Female,Healthcare,USA,High,7.3,77,3,5.5,Average,Non-Smoker,Social Drinker,train
48,Female,Other,Canada,Low,9.9,30,9,5.7,Healthy,Non-Smoker,Non-Drinker,train
18,Female,Healthcare,Other,High,4.3,61,2,1.1,Average,Occasional Smoker,Heavy Drinker,train
28,Non-binary,Engineering,Other,High,5.2,71,5,5.8,Unhealthy,Heavy Smoker,Heavy Drinker,train
46,Male,Healthcare,India,High,4.6,36,0,4.4,Average,Regular Smoker,Non-Drinker,train
39,Prefer not to say,Engineering,UK,High,6.1,76,2,4.1,Healthy,Regular Smoker,Regular Drinker,train
54,Male,Education,India,Low,8.7,61,10,0.9,Healthy,Regular Smoker,Heavy Drinker,train
19,Male,Engineering,UK,High,5.2,77,5,5.5,Unhealthy,Regular Smoker,Heavy Drinker,train
51,Prefer not to say,Finance,Canada,High,4.0,44,6,3.8,Average,Heavy Smoker,Heavy Drinker,train
18,Male,Sales,Germany,Low,6.4,54,8,0.7,Average,Regular Smoker,Non-Drinker,train
46,Non-binary,Sales,Germany,High,5.0,77,8,1.2,Unhealthy,Occasional Smoker,Heavy Drinker,train
